venue_slug,position,question,answer
baileywick-park,3,Is Baileywick Park open right now?,"Court A was closed for repairs as of 24 August 2026 and Raleigh Parks published no reopening date. Since pickleball at this park runs on Courts A and B, that is half the pickleball surface. The rest of the park was not reported closed. Check the park's page before travelling."
baileywick-park,4,Does Baileywick Park have six pickleball courts or four?,"The city's two records disagree, and we would rather show you that than pick quietly. Raleigh Parks' pickleball page says six; its GIS court inventory holds polygons for Court A and Court B totalling four, and has no polygon for Court C. We publish six and have flagged the venue for a re-check."
carolina-pines-park,1,Do I need to bring a net to Carolina Pines Park?,Yes. Raleigh Parks' note for this location says you need to bring or borrow a net. It is one of only two Raleigh locations where the department says so outright — the other is Southgate Park.
carolina-pines-park,2,Are the courts at Carolina Pines dedicated to pickleball?,"No. Raleigh Parks describes them as tennis courts with pickleball lines. The park's own page records three tennis courts at this site, with no backboards and push-button lighting from dusk to 10 p.m."
carolina-pines-park,3,How many pickleball courts does Carolina Pines have?,"Raleigh Parks says four and its GIS court inventory says three. We publish the department's four, because that page states a citywide total of 44 courts which its own per-location figures add up to, and we have flagged this venue for a re-check."
fred-fletcher-park,1,Does Fred Fletcher Park have lights?,"No, and that is a verified no rather than a gap. Raleigh Parks marks the location as unlit in its pickleball table, and the park's own page records its tennis courts as having no lights. It is one of two daylight-only pickleball locations in the city."
fred-fletcher-park,2,What is the address of Fred Fletcher Park?,"The park's own page gives two frontages, 820 Clay Street and 805 Washington Street, Raleigh 27605, with entrances off St. Mary's Street and Glenwood Avenue. Ignore the ""514 Method Road"" that appears against this park in the city's pickleball table — that is Method Community Park's address, duplicated from the row below."
fred-fletcher-park,3,Are the pickleball courts here dedicated?,"No. Raleigh Parks describes them as tennis courts with pickleball lines. The park page records two tennis courts with no backboard, which is the surface those lines are on."
jaycee-park,1,Can I play at Jaycee Park in the evening?,"Raleigh Parks marks this location as lit, and says its outdoor court lighting runs on a timer until 10 p.m. Nothing published states what time the lights come on beyond dusk, or whether the timer changes with the season."
jaycee-park,2,Are the courts at Jaycee Park pickleball-only?,"No. The department lists them as tennis courts with pickleball lines, so tennis players may have them when you arrive and you will be playing over tennis lines."
jaycee-park,3,Is there parking at Jaycee Park?,"The park page mentions a parking lot on Wade Avenue and says ample parking is provided on both sides of the dog run, but it is describing access to the dog run rather than to the courts. No capacity, time limit or fee is published."
method-community-park,1,Can I reserve a court at Method Community Park?,"No. Raleigh Parks marks this location ""Drop in only, no reservations"". Other Raleigh locations do take bookings through the department's pickleball court reservation form, but this is not one of them."
method-community-park,2,How late are the lights on at Method?,"The park's own page says the lighting is on a timer from dusk to 10 p.m., which matches the department's statement that its outdoor courts run on a lighting timer to 10 p.m."
method-community-park,3,Is there indoor pickleball at Method Road?,"The community centre on this site is one of thirteen running Raleigh's indoor open-play programme, at $3 a session or $15 for a four-month pass, with nets and balls provided. The city does not publish how many courts the gym holds for open play, so we have not verified it as a venue. The gym rental listing mentions three pickle courts and one volleyball court at $85 an hour."
method-community-park,4,Are Method's six courts real pickleball courts?,"Yes — Raleigh Parks describes them as permanent courts, and the park page lists six with backboards. Both the department's pickleball page and its GIS court inventory give the same figure of six, which is not the case at every Raleigh location."
north-hills-park,1,Are North Hills Park's pickleball courts open?,"Daytime play reopened on 2 September 2026 after a lighting upgrade that began on 24 August. Night play was still closed when we checked on 3 September, with Raleigh Parks targeting 8 September for completion. Check the park's page before an evening visit."
north-hills-park,2,Can I book a court at North Hills Park?,"No. Raleigh Parks marks the location ""Drop in only, no reservations"", and the park's own page states that court reservations are not offered during open play."
north-hills-park,3,"How many courts are there, and do the sources agree?","Six, and unusually for this set every record we have says the same: the department's pickleball page, its GIS court inventory and the commercial dataset we started from all give six. Two other Raleigh venues do not have that luxury."
powell-drive-park,1,Are there lights at Powell Drive Park?,Yes. Raleigh Parks marks the location as lit in its pickleball table and its GIS court inventory records lighting on the pickleball courts here. The city's outdoor court lights run on a timer until 10 p.m.
powell-drive-park,2,Do I need to bring a net to Powell Drive Park?,"The city does not say, either way. It tells you to bring a net at Carolina Pines and Southgate and says nothing about nets at the other nine locations, so we record nets here as not verified rather than guessing. Bringing one is the safe assumption."
powell-drive-park,3,Is there a restroom at Powell Drive Park?,"None is recorded in the city's park amenities inventory for this park. That inventory does record restrooms at five of the eleven Raleigh pickleball locations, so its silence here is meaningful, though we publish it as unverified rather than as a confirmed absence."
roberts-park,1,Is there a restroom at Roberts Park?,"Yes. The city's park amenities inventory records a restroom here, which is true at only five of the eleven Raleigh pickleball locations."
roberts-park,2,Are Roberts Park's pickleball courts dedicated?,"No. Raleigh Parks lists them as tennis courts with pickleball lines, so you are sharing the surface with tennis and playing over tennis markings."
roberts-park,3,Does it cost anything to play at Roberts Park?,"No fee is published for the outdoor courts, and no source states that they are free either, so we record cost as not verified. The prices Raleigh Parks does publish — $3 a session, $15 for four months — are for indoor open play at its community centres."
roberts-park,4,How does getting a game work here?,"By the city's sign-up rules, which apply at every Raleigh facility. Players sign in or place a paddle in a quadrant of four, games are singles or doubles to 11 points and win by 2, and at the end of each game all four players leave the court so the next four on the list can play. Groups who want to stay together are asked to skip to the next fully open quadrant rather than break an existing one up. With two courts at a central park, that queue is the thing most likely to decide how long you wait."
sanderford-road-park,1,How many pickleball courts does Sanderford Road Park have?,"Ten, and it is the largest pickleball site in Raleigh. The department's pickleball page and its GIS court inventory both give ten, and they are permanent pickleball courts rather than lines on a tennis surface."
sanderford-road-park,2,Can I reserve a court at Sanderford Road Park?,"The park's own page says court reservations are available here, and Raleigh Parks publishes a pickleball court reservation form. That is different from Method Community Park and North Hills Park, which are marked drop-in only. Check the department's monthly pickleball calendar before you travel."
sanderford-road-park,3,Is there a restroom at Sanderford Road Park?,"None is recorded for this park in the city's park amenities inventory. We publish that as unverified rather than as a confirmed absence, but plan for it at a ten-court site where you may be there a while."
sanderford-road-park,4,What is the correct address for Sanderford Road Park?,"2623 Sanderford Road, Raleigh 27610. Both Raleigh Parks' pickleball page and its park amenities inventory give that number. Some third-party listings show 2823 Sanderford Road; that does not match either city record."
southgate-park,1,Do I need to bring a net to Southgate Park?,"Yes. Raleigh Parks' note for this location says you need to bring your own net. It is one of only two Raleigh locations where the department says so, the other being Carolina Pines Park."
southgate-park,2,Are there lights at Southgate Park?,"No. Raleigh Parks marks this location No in the Lights column of its pickleball table. It is one of two unlit pickleball locations in the city, with Fred Fletcher Park, so play here is limited to daylight."
southgate-park,3,What surface are the courts at Southgate Park?,"Asphalt, according to the city's GIS court inventory. Southgate is the only one of the eleven Raleigh locations where that field is filled in — everywhere else it is empty, which is why every other Raleigh venue here shows its surface as not verified."
tarboro-road-park,1,Is Tarboro Road Park a good central option?,"It is one of the closest verified pickleball locations to downtown Raleigh, and it is lit, so it works after work. It has only two courts and they are shared with tennis, so it is a convenient option rather than a spacious one."
tarboro-road-park,2,What are the opening hours for the courts?,"The city does not publish them. The park's page carries hours for the park, for the community centre and for the Saint Monica Teen Center, none of which is a statement about when the outdoor courts are available, so we leave court hours unverified rather than repeating a centre's opening times as if they were the courts'."
tarboro-road-park,3,How many pickleball courts are at Tarboro Road Park?,"Two, and every record we have agrees — Raleigh Parks' pickleball page, its GIS court inventory, and the commercial dataset this directory started from. They are pickleball lines on the park's tennis courts rather than dedicated courts."
green-lake-park-east-courts,1,Can I turn up alone and get a game?,"Yes, during the open-play windows, and this is the only Seattle venue where that is a designed feature rather than luck. Ambassadors run a paddle stacking system in those sessions so single players rotate in. Outside those hours you are on your own like anywhere else."
green-lake-park-east-courts,2,Are these courts indoor?,"No. All eight are outdoor, and there is no covered or climate-controlled pickleball recorded anywhere in Seattle. An earlier commercial record claimed two indoor courts here; the city's own data does not, and we have removed the claim."
green-lake-park-east-courts,3,Is there a fee?,"Not verified. Seattle Parks publishes no fee information for its pickleball courts, so we show cost as unverified here as everywhere else on this site rather than assuming it is free."
gilman-playground,1,What time do the courts close?,"10 p.m. every day, with opening at 7 a.m. on weekdays and 9 a.m. at weekends and city-observed holidays. These hours took effect on 15 September 2025."
gilman-playground,2,Why does this park have hours when most do not?,Noise studies run by Seattle Parks with the Seattle Department of Construction and Inspections found play here producing sound levels above the limits in Seattle Municipal Code chapter 25.08. Gilman is one of three Seattle sites given posted hours as a result.
gilman-playground,3,What happens if people play after 10 p.m.?,"The city fits a lock. A violation documented outside posted hours with timestamped visual evidence results in a temporary lock for at least thirty days; repeat violations lead to a permanent lock, after which the courts open only when staff are on site to unlock them."
gilman-playground,4,Are nets provided?,"Yes. Seattle Parks records nets at this location, which is not universal — the city records nets at seventeen of its twenty-five pickleball sites and says nothing either way about the other eight, so a portable net is worth carrying if you also play elsewhere in the city."
laurelhurst-playfield,1,Is this a dedicated pickleball court?,"Yes, and that is rare here. Seattle Parks records only four dedicated pickleball locations in the city and three of them, including this one, have a single court. Every other verified Seattle venue shares its surface with tennis, basketball or badminton."
laurelhurst-playfield,2,Only one court — will I get on?,"That depends entirely on who else turns up, and we have no crowding data for any Seattle venue so we will not guess. One court means one game at a time and an informal rotation with whoever is waiting."
laurelhurst-playfield,3,What time does it close?,"10 p.m., opening 7 a.m. on weekdays and 9 a.m. at weekends and city-observed holidays, in force since 15 September 2025 after noise studies found levels above Seattle Municipal Code chapter 25.08."
laurelhurst-playfield,4,"Are nets provided, and is there a restroom?","Nets yes, and an all-year restroom is recorded on site, which matters more than it sounds — eleven of the twenty-five Seattle pickleball locations have only a seasonal restroom and three have none recorded at all. Dedicated parking is also recorded here rather than street parking."
mt-baker-park,1,It has lights — can I play late?,"Until 10 p.m. and no later. This is the only Seattle venue that is both lit and curfewed, so the lights are genuinely useful in winter afternoons and genuinely capped at night. For lit courts without a posted curfew, Bitter Lake Playfield and Rainier Beach Playfield carry no such order in the records we have checked."
mt-baker-park,2,Why is there a curfew at a lit park?,The two are unrelated. The lighting is recorded by Seattle Parks as a facility; the hours were imposed in September 2025 after noise studies with the Seattle Department of Construction and Inspections found play exceeding Seattle Municipal Code chapter 25.08.
mt-baker-park,3,Where do I park?,"Street parking — Seattle Parks records no dedicated lot here. No permit or time-limit information is published and we have not checked restrictions on the ground, so read the posted signs."
bitter-lake-playfield,1,Is this the same place as Bitter Lake Community Center?,"No, and keeping them apart mattered. The community centre is a building with three indoor courts of its own; this record is the outdoor playfield with eight. They share a campus. Our imported data blurred the two into a single eleven-court entry, which the city records do not support."
bitter-lake-playfield,2,Can I play here in the evening?,"The city records lighting here, and no restricted-hours order applies to this site in the records we have checked. What Seattle Parks does not publish is when the lights actually run or whether they are switched on seasonally, so treat evening play as possible rather than guaranteed."
bitter-lake-playfield,3,Are the courts dedicated to pickleball?,"No. This is a shared tennis and pickleball surface, which is the norm in Seattle. Only four of the twenty-five locations the city records are dedicated pickleball, and three of those are single courts."
bitter-lake-playfield,4,How does it compare with Rainier Beach?,"They are the two eight-court lit sites in Seattle and between them hold sixteen of the city's ninety-two verified courts. Rainier Beach has an all-year restroom where Bitter Lake's is seasonal; both have dedicated parking and nets. On the city's record the two are close to interchangeable, and the deciding factor for most people will be which end of Seattle they are starting from."
rainier-beach-playfield,1,Is this the community centre?,"No. Seattle Parks records the playfield and the community centre separately, and this page is the playfield: eight outdoor courts. The community centre entry in our import claims three indoor courts and has not been verified, so it does not appear on this site at all."
rainier-beach-playfield,2,Did anything change from the original data?,"Almost nothing, which is unusual here. The court count and the outdoor split both matched the city record exactly. The address was corrected, and everything the city does not state, including surface, fees and hours, was cleared to unverified."
rainier-beach-playfield,3,Are there lights and a restroom?,"Both are recorded by the city: lighting present, and an all-year restroom rather than a seasonal one. What is not recorded anywhere is the hours those lights operate."
rainier-beach-playfield,4,How does it compare with Bitter Lake?,"They are the only two eight-court lit venues in the city and are near-identical on the record: nets, dedicated parking, lights, tennis-shared. The one difference Seattle Parks records is the restroom, all-year here and seasonal at Bitter Lake, which is a small thing in July and a real one in January. Neither carries a posted-hours order."
west-magnolia-playfield-pickleball-courts-seattle,1,Why was this venue missing from other directories?,"We can only speak for the commercial dataset we imported, which had no row for it. Seattle Parks does record it. That gap is the reason this project treats a municipal source as the starting point rather than as a cross-check on someone else's list."
west-magnolia-playfield-pickleball-courts-seattle,2,Is this Magnolia Community Center?,"No. The community centre is an indoor building nearby with three courts, recorded separately. We deliberately did not merge them, because merging a playfield with a building is how a directory ends up publishing a court count that belongs to neither."
west-magnolia-playfield-pickleball-courts-seattle,3,Are there lights?,"No. Seattle Parks records no lighting here, and unlike a venue where the city is simply silent, this is a positive record of absence."
west-magnolia-playfield-pickleball-courts-seattle,4,Is eight courts a lot for Seattle?,"It is the joint maximum. Four sites in the city have eight courts and nothing has more: this one, Bitter Lake, Rainier Beach and Green Lake East. Of those four, two are lit and two are not, and West Magnolia is in the unlit half. So this is as much daytime capacity as Seattle offers in one place."
miller-playfield,1,Is this the same as Miller Community Center?,"No, and they share an address, which is exactly why the distinction matters. The community centre is the indoor building; this is the outdoor playfield with five courts. Our import held both, and treating them as one venue would have doubled the apparent capacity of the block."
miller-playfield,2,"How many courts are there, really?","Five. The imported record said four. Seattle Parks, which operates the site, records five, and a city record wins on a fact about its own facility."
miller-playfield,3,Why is it called Pendleton Miller Playfield on some maps?,"That is the name on the city's parcel record. The pickleball dataset calls the same site Miller Playfield, and we use the shorter form the pickleball layer uses."
miller-playfield,4,Why does the court count matter so much here?,"Because the site is small enough that one court is a large fraction of it. Our imported record said four and the city says five; on an eight-court playfield that would be a rounding error, but on a five-court site it is twenty per cent of the capacity. Venue-name searches are read by people who already know the venue, and they are exactly the readers who would notice."
delridge-playfield,1,Are there indoor courts at Delridge?,"Not at this venue. Our imported record claimed three and the city records none. There is a Delridge Community Center nearby which is an indoor building, but it has not been verified against a named source, so it does not appear on this site."
delridge-playfield,2,How many courts are there?,"Four, all outdoor, per Seattle Parks. The imported record said seven. That is the largest single court-count correction in the Seattle set after Green Lake."
delridge-playfield,3,Which address is right?,"4458 Delridge Way SW, from the city's parcel record. Our import had 4501 Delridge Way SW, about a block away."
delridge-playfield,4,Is there anywhere lit nearby in West Seattle?,"Alki Playground is the lit option in West Seattle, with four courts and street parking. Walt Hundley Playfield is also close and also unlit. Of the twenty-four verified Seattle venues only five have lighting recorded at all, so the choice in any one part of the city is usually narrow."
alki-playground,1,Is this a dedicated pickleball facility?,"No, despite what some listings say. Our imported record classified it that way; Seattle Parks records a shared tennis and pickleball surface. Expect tennis lines and shared use."
alki-playground,2,Is there parking at the courts?,"The city records street parking rather than a dedicated lot here. It publishes nothing about capacity, permits or time limits, and we have not verified any of that in person."
alki-playground,3,Are there lights?,"Yes, recorded by Seattle Parks, making this one of five lit venues in the verified Seattle set. The city does not publish what hours those lights run."
alki-playground,4,Is it the best lit option in West Seattle?,"It is the only one. Seattle Parks records five lit venues across the city and Alki is the West Seattle entry; Delridge and Walt Hundley, the other two West Seattle sites we have verified, both have no lighting recorded. The trade-off is parking, which is street here rather than the dedicated lots at Bitter Lake and Rainier Beach."
beacon-hill-park,1,Is it Beacon Hill Park or Beacon Hill Playground?,"Both, depending on which city record you read. The Parks property record says playground; the pickleball dataset says park. We use the pickleball dataset name because it is the record specifically describing these courts, and we flag the disagreement rather than hiding it."
beacon-hill-park,2,Are there lights?,"No. Seattle Parks positively records no lighting at this site, which is a different statement from the city simply being silent about it."
beacon-hill-park,3,Is the restroom open all year?,"No, the city records it as seasonal. Eleven of the twenty-five Seattle sites have seasonal restrooms, eleven are all-year and three have none recorded."
beacon-hill-park,4,What is nearby if this is busy?,"Dearborn Park is the closest other verified venue, also four courts and also unlit, though it has no restroom recorded where this site has a seasonal one. Neither has lights. The nearest lit courts are at Mt. Baker Park, which carries a 10 p.m. curfew imposed by the city after noise studies."
brighton-playfield,1,Was anything corrected on this venue?,"Very little, which is unusual in this set. The name, address and court count all matched the city record. What did change is that unsourced fields, including surface, fees and hours, were cleared to unverified rather than published on the strength of a commercial record."
brighton-playfield,2,Is there a restroom?,"Yes, and the city records it as all-year rather than seasonal. That puts it among the eleven Seattle pickleball sites with a year-round restroom."
brighton-playfield,3,Can I play in the evening?,"Not under lights. Seattle Parks records no lighting here, so play is bounded by daylight."
brighton-playfield,4,What else is verified in south Seattle?,"Rainier Beach Playfield is the substantial one, with eight lit courts, dedicated parking and an all-year restroom. Lakeridge Park is further south with two badminton-shared courts. Brighton sits between them in size at four courts, and unlike Rainier Beach it has no lighting recorded."
brighton-playfield,5,Is the court count reliable here?,"As reliable as anything on this site gets. Four courts is what Seattle Parks records and what the imported data said, and where an operator and an independent record agree on a fact about the operator's own facility, that is about as good as verification gets short of standing on the court. It is worth contrasting with Green Lake, where the two sources disagreed by a factor of two."
dearborn-park,1,How many courts are there?,"Four, per Seattle Parks. Our imported record said two, so this is one of the few Seattle venues where the unverified data undercounted rather than overcounted."
dearborn-park,2,Is there a restroom?,"No. The city records no nearby restroom at this site, which is a positive record of absence rather than a gap in the data. Only three of the twenty-five Seattle locations are recorded this way."
dearborn-park,3,Are nets provided?,"Unknown. Seattle Parks records nets at seventeen of its twenty-five pickleball locations and says nothing either way about the other eight, of which this is one. Bring a portable net if you have one."
